利润率,记录数,制造商,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 Id,订单日期,邮寄方式,销售额
-0.47,1,Fiskars,"Fiskars 剪刀, 蓝色",-61.0,2018/4/29,中国,华东,杭州,用品,曾惠,0.4,2,浙江,办公用品,公司,US-2018-1357144,2018/4/27,二级,130.0
0.34,1,GlobeWeis,"GlobeWeis 搭扣信封, 红色",43.0,2018/6/19,中国,西南,内江,信封,许安,0.0,2,四川,办公用品,消费者,CN-2018-1973789,2018/6/15,标准级,125.0
0.13,1,Cardinal,"Cardinal 孔加固材料, 回收",4.0,2018/6/19,中国,西南,内江,装订机,许安,0.4,2,四川,办公用品,消费者,CN-2018-1973789,2018/6/15,标准级,32.0
-0.08,1,Kleencut,"Kleencut 开信刀, 工业",-27.0,2018/12/13,中国,华东,镇江,用品,宋良,0.4,4,江苏,办公用品,公司,US-2018-3017568,2018/12/9,标准级,321.0
0.4,1,KitchenAid,"KitchenAid 搅拌机, 黑色",550.0,2017/6/2,中国,中南,汕头,器具,万兰,0.0,3,广东,办公用品,消费者,CN-2017-2975416,2017/5/31,二级,1376.0
0.34,1,柯尼卡,"柯尼卡 打印机, 红色",3784.0,2016/10/31,中国,华东,景德镇,设备,俞明,0.0,9,江西,技术,消费者,CN-2016-4497736,2016/10/27,标准级,11130.0
0.36,1,Ibico,"Ibico 订书机, 实惠",173.0,2016/10/31,中国,华东,景德镇,装订机,俞明,0.0,2,江西,办公用品,消费者,CN-2016-4497736,2016/10/27,标准级,480.0
0.31,1,Safco,"SAFCO 扶手椅, 可调",2684.0,2016/10/31,中国,华东,景德镇,椅子,俞明,0.0,4,江西,家具,消费者,CN-2016-4497736,2016/10/27,标准级,8660.0
0.08,1,Green Bar,"Green Bar 计划信息表, 多色",47.0,2016/10/31,中国,华东,景德镇,纸张,俞明,0.0,5,江西,办公用品,消费者,CN-2016-4497736,2016/10/27,标准级,588.0
0.22,1,Stockwell,"Stockwell 橡皮筋, 整包",34.0,2016/10/31,中国,华东,景德镇,系固件,俞明,0.0,2,江西,办公用品,消费者,CN-2016-4497736,2016/10/27,标准级,154.0
0.01,1,爱普生,"爱普生 计算器, 耐用",4.0,2015/12/24,中国,西北,榆林,设备,谢雯,0.0,2,陕西,技术,小型企业,CN-2015-4195213,2015/12/22,二级,434.0
0.27,1,惠普,"惠普 墨水, 红色",640.0,2018/6/6,中国,东北,哈尔滨,复印机,康青,0.0,4,黑龙江,技术,消费者,CN-2018-5801711,2018/6/1,标准级,2369.0
0.13,1,Jiffy,"Jiffy 局间信封, 银色",89.0,2016/6/9,中国,华东,青岛,信封,赵婵,0.0,3,山东,办公用品,消费者,CN-2016-2752724,2016/6/5,标准级,684.0
0.26,1,SanDisk,"SanDisk 键区, 可编程",344.0,2016/6/9,中国,华东,青岛,配件,赵婵,0.0,5,山东,技术,消费者,CN-2016-2752724,2016/6/5,标准级,1327.0
0.48,1,诺基亚,"诺基亚 充电器, 蓝色",2849.0,2016/6/9,中国,华东,青岛,电话,赵婵,0.0,2,山东,技术,消费者,CN-2016-2752724,2016/6/5,标准级,5937.0
-0.38,1,KitchenAid,"KitchenAid 冰箱, 黑色",-3963.0,2017/11/25,中国,华东,徐州,器具,刘斯云,0.4,7,江苏,办公用品,公司,US-2017-2511714,2017/11/22,一级,10336.0
0.45,1,Novimex,"Novimex 圆形标签, 红色",38.0,2017/11/25,中国,华东,徐州,标签,刘斯云,0.0,3,江苏,办公用品,公司,US-2017-2511714,2017/11/22,一级,85.0
0.46,1,Memorex,"Memorex 键盘, 实惠",1071.0,2018/10/4,中国,华东,上海,配件,白鹄,0.0,7,上海,技术,消费者,CN-2018-5631342,2018/10/2,二级,2330.0
0.28,1,Acme,"Acme 尺子, 工业",24.0,2018/10/4,中国,华东,上海,用品,白鹄,0.0,1,上海,办公用品,消费者,CN-2018-5631342,2018/10/2,二级,86.0
0.02,1,Avery,"Avery 孔加固材料, 耐用",2.0,2018/10/4,中国,华东,上海,装订机,白鹄,0.0,5,上海,办公用品,消费者,CN-2018-5631342,2018/10/2,二级,138.0
0.32,1,Cardinal,"Cardinal 装订机, 回收",127.0,2018/10/4,中国,华东,上海,装订机,白鹄,0.0,6,上海,办公用品,消费者,CN-2018-5631342,2018/10/2,二级,397.0
0.45,1,三星,"三星 办公室电话机, 整包",959.0,2018/10/4,中国,华东,上海,电话,白鹄,0.0,7,上海,技术,消费者,CN-2018-5631342,2018/10/2,二级,2133.0
0.26,1,Hewlett,"Hewlett 传真机, 数字化",1163.0,2018/10/4,中国,华东,上海,复印机,白鹄,0.0,3,上海,技术,消费者,CN-2018-5631342,2018/10/2,二级,4474.0
0.44,1,Elite,"Elite 开信刀, 工业",119.0,2018/10/4,中国,华东,上海,用品,白鹄,0.0,2,上海,办公用品,消费者,CN-2018-5631342,2018/10/2,二级,270.0
